Rndrng_NPI,Tot_Benes,Avg_Mdcr_Stdzd_Amt,Tot_Mdcr_Stdzd_Amt,Labels
1023040771,293,1742.5165193650002,510557.34,3
1023042777,47,136.39396853099998,6410.52,0
1023043189,946,984.6178287609998,931448.47,0
1023048469,13,58.809375,764.52,0
1023050069,2311,6737.963817463401,15571434.38,1
1023053485,62,154.36495326099998,9570.63,0
1023053808,548,768.6480746199999,421219.14,0
1023056280,3788,7385.001044339001,27974383.96,1
1023057148,1518,2557.7629936752996,3882684.22,3
1023058195,320,3633.9988268284997,1162879.62,3
1023058427,1755,2800.481382642699,4914844.83,3
1023058989,3247,3405.1971559969998,11056675.17,4
